央视频道,#genre#
CCTV1,http://27.189.127.29:402/rtp/239.254.200.45:8008
CCTV2,http://27.189.127.29:402/rtp/239.254.200.158:6000
CCTV3,http://27.189.127.29:402/rtp/239.254.200.13:6000
CCTV3高清,http://27.189.127.29:402/rtp/239.254.201.152:7205
CCTV4,http://27.189.127.29:402/rtp/239.254.200.190:6307
CCTV5,http://27.189.127.29:402/rtp/239.254.200.14:6000
CCTV5高清,http://27.189.127.29:402/rtp/239.254.201.153:7206
CCTV5+,http://27.189.127.29:402/rtp/239.254.200.46:8004
CCTV6,http://27.189.127.29:402/rtp/239.254.200.15:6000
CCTV6高清,http://27.189.127.29:402/rtp/239.254.201.154:7207
CCTV7,http://27.189.127.29:402/rtp/239.254.200.159:6000
CCTV8,http://27.189.127.29:402/rtp/239.254.200.16:6000
CCTV8高清,http://27.189.127.29:402/rtp/239.254.201.155:7208
CCTV9,http://27.189.127.29:402/rtp/239.254.200.59:8112
CCTV10,http://27.189.127.29:402/rtp/239.254.200.160:6000
CCTV11,http://27.189.127.29:402/rtp/239.254.201.123:8120
CCTV12,http://27.189.127.29:402/rtp/239.254.200.161:6000
CCTV13,http://27.189.127.29:402/rtp/239.254.200.9:8264
CCTV14,http://27.189.127.29:402/rtp/239.254.200.162:6000
CCTV15,http://27.189.127.29:402/rtp/239.254.201.124:8136
CCTV16 4K,http://27.189.127.29:402/rtp/239.254.200.7:6346
CCTV16 4K,http://27.189.127.29:402/rtp/239.254.201.150:6345
CCTV16 4K,http://27.189.127.29:402/rtp/239.254.201.150:6345
CCTV17,http://27.189.127.29:402/rtp/239.254.201.120:8144
数字频道,#genre#
凤凰卫视电影台,http://27.189.127.29:402/rtp/239.254.201.1:5214
中式八球国际公开赛,http://27.189.127.29:402/rtp/239.254.200.187:6000
唐山影视,http://27.189.127.29:402/rtp/239.254.200.168:6000
天元围棋高清,http://27.189.127.29:402/rtp/239.254.201.156:6270
央视台球,http://27.189.127.29:402/rtp/239.254.201.171:7176
摄影,http://27.189.127.29:402/rtp/239.254.200.119:6246
沧州影视娱乐,http://27.189.127.29:402/rtp/239.254.200.44:6000
河北影视剧,http://27.189.127.29:402/rtp/239.254.200.20:6000
游戏风云,http://27.189.127.29:402/rtp/239.254.201.163:6354
环球奇观,http://27.189.127.29:402/rtp/239.254.200.105:6238
环球旅游,http://27.189.127.29:402/rtp/239.254.201.161:6264
秦皇岛影视,http://27.189.127.29:402/rtp/239.254.200.41:6000
羽毛球专区,http://27.189.127.29:402/rtp/239.254.201.214:7264
聚鲨环球精选,http://27.189.127.29:402/rtp/239.254.201.81:7191
足球频道,http://27.189.127.29:402/rtp/239.254.201.169:6341
风云剧场,http://27.189.127.29:402/rtp/239.254.200.94:6228
风云剧场高清,http://27.189.127.29:402/rtp/239.254.201.219:7257
风云足球,http://27.189.127.29:402/rtp/239.254.200.97:6231
风云足球高清,http://27.189.127.29:402/rtp/239.254.201.222:7251
风云音乐,http://27.189.127.29:402/rtp/239.254.200.96:6230
风云音乐高清,http://27.189.127.29:402/rtp/239.254.201.221:7259
高尔夫网球,http://27.189.127.29:402/rtp/239.254.200.98:6232
高尔夫网球高清,http://27.189.127.29:402/rtp/239.254.201.223:7252
卫视频道,#genre#
东南卫视,http://27.189.127.29:402/rtp/239.254.201.13:6291
东方卫视,http://27.189.127.29:402/rtp/239.254.200.52:8032
云南卫视,http://27.189.127.29:402/rtp/239.254.200.68:8108
内蒙古卫视,http://27.189.127.29:402/rtp/239.254.200.84:8176
凤凰卫视中文台,http://27.189.127.29:402/rtp/239.254.201.2:5226
凤凰卫视电影台,http://27.189.127.29:402/rtp/239.254.201.1:5214
凤凰卫视资讯台,http://27.189.127.29:402/rtp/239.254.201.3:5227
北京卫视,http://27.189.127.29:402/rtp/239.254.200.47:8024
吉林卫视,http://27.189.127.29:402/rtp/239.254.201.15:6339
四川卫视,http://27.189.127.29:402/rtp/239.254.200.202:6325
天津卫视,http://27.189.127.29:402/rtp/239.254.200.54:1234
宁夏卫视,http://27.189.127.29:402/rtp/239.254.200.87:8124
安徽卫视,http://27.189.127.29:402/rtp/239.254.200.163:6000
